,rank,major,degree_type,early_career_pay,mid_career_pay,percentage_high_meaning
420,421,Business Management & Human Resources Management (HRM),Bachelors,"$46,800","$84,600",57%
421,421,Journalism & Mass Communication,Bachelors,"$46,300","$84,600",44%
422,423,Accounting & Management,Bachelors,"$55,500","$84,500",52%
423,424,Sociology & Organizational Studies,Bachelors,"$53,500","$84,300",57%
424,425,Crop Science,Bachelors,"$48,700","$84,200",60%
425,425,French Studies,Bachelors,"$52,400","$84,200",57%
426,425,Writing,Bachelors,"$44,200","$84,200",42%
427,425,Nursing,Bachelors,"$65,000","$84,200",83%
428,429,History,Bachelors,"$47,800","$84,100",46%
429,430,Biology,Bachelors,"$47,100","$84,000",65%
430,430,Land Surveying,Bachelors,"$51,900","$84,000",54%
431,432,Architectural Technology,Bachelors,"$46,700","$83,900",61%
432,432,Health Care,Bachelors,"$44,400","$83,900",74%
433,432,Integrated Marketing Communications,Bachelors,"$47,000","$83,900",36%
434,435,Agriculture,Bachelors,"$47,700","$83,800",61%
435,436,Digital Design,Bachelors,"$50,000","$83,600",40%
436,436,Marketing & Advertising,Bachelors,"$49,300","$83,600",44%
437,436,Organizational Communication,Bachelors,"$46,400","$83,600",49%
438,439,Visual Effects & Motion Graphics,Bachelors,"$48,100","$83,400",38%
439,440,Public Relations & Communication,Bachelors,"$45,700","$83,300",47%
440,440,General & Strategic Management,Bachelors,"$51,200","$83,300",55%
441,442,Foreign Languages,Bachelors,"$48,400","$83,100",52%
442,442,Retail Merchandising,Bachelors,"$50,900","$83,100",31%
443,444,Agribusiness Management,Bachelors,"$47,700","$83,000",46%
444,444,Global Business,Bachelors,"$55,800","$83,000",31%
445,444,Professional & Technical Writing,Bachelors,"$48,500","$83,000",44%
446,447,Computer Art,Bachelors,"$40,400","$82,900",31%
447,447,Environmental Management,Bachelors,"$50,200","$82,900",62%
448,447,Environmental Studies,Bachelors,"$48,500","$82,900",59%
449,447,Journalism,Bachelors,"$45,900","$82,900",44%
450,447,Travel Industry Management,Bachelors,"$52,600","$82,900",-
451,452,International Development Studies,Bachelors,"$47,700","$82,800",64%
452,452,Natural Sciences,Bachelors,"$45,100","$82,800",55%
453,452,Retail & Consumer Science,Bachelors,"$51,800","$82,800",32%
454,452,Literature,Bachelors,"$46,800","$82,800",47%
455,456,Bachelor in Science Nursing,Bachelors,"$64,000","$82,700",81%
456,456,History & Political Science,Bachelors,"$50,600","$82,700",50%
457,456,Museum Studies,Bachelors,"$38,900","$82,700",50%
458,459,Computer Information Management,Bachelors,"$49,400","$82,600",-
459,459,Dental Hygiene,Bachelors,"$72,700","$82,600",80%
460,459,Law,Bachelors,"$54,300","$82,600",53%
461,459,Network Technology,Bachelors,"$59,800","$82,600",57%
462,463,Media Studies,Bachelors,"$50,700","$82,400",38%
463,464,Environmental Geography,Bachelors,"$50,200","$82,300",52%
464,465,Law Enforcement,Bachelors,"$46,700","$82,200",60%
465,466,Nuclear Medicine,Bachelors,"$60,300","$81,900",81%
466,466,Bachelor of Science in Nursing,Bachelors,"$63,800","$81,900",83%
467,468,Computer Animation,Bachelors,"$46,800","$81,800",36%
468,468,Landscape Architecture,Bachelors,"$51,500","$81,800",65%
469,468,Publishing,Bachelors,"$46,300","$81,800",39%
470,471,Interior Architecture,Bachelors,"$47,600","$81,500",45%
471,472,Diagnostic Medical Sonography,Bachelors,"$64,300","$81,400",86%
472,472,Environmental & Natural Resource Economics,Bachelors,"$52,400","$81,400",65%
473,472,Public Relations (PR),Bachelors,"$45,600","$81,400",42%
474,472,Workforce Education & Development,Bachelors,"$59,900","$81,400",80%
475,476,American History (United States),Bachelors,"$50,900","$81,300",52%
476,477,Drama,Bachelors,"$47,400","$81,100",47%
477,478,Management (MGT),Bachelors,"$47,000","$81,000",62%
478,479,Merchandising Management,Bachelors,"$46,800","$80,900",38%
479,480,Environmental Biology,Bachelors,"$45,000","$80,800",70%
480,481,Accounting & Business,Bachelors,"$52,400","$80,700",48%
481,482,Automotive Technology & Service Management,Bachelors,"$48,800","$80,500",32%
482,482,Speech Communication,Bachelors,"$46,700","$80,500",54%
483,484,Allied Health,Bachelors,"$44,800","$80,400",78%
484,485,Agricultural Systems Technology,Bachelors,"$60,500","$80,300",-
485,485,Emergency Management,Bachelors,"$50,900","$80,300",80%
486,485,Network Administration,Bachelors,"$48,700","$80,300",56%
487,488,Communication Management,Bachelors,"$46,000","$80,200",38%
488,489,Historic Preservation,Bachelors,"$43,400","$80,000",-
489,490,Broadcast Journalism,Bachelors,"$42,900","$79,900",50%
490,490,Broadcast & Cinematic Arts,Bachelors,"$42,800","$79,900",43%
491,492,Automotive Technology,Bachelors,"$48,100","$79,800",47%
492,492,Business Management & Administration,Bachelors,"$51,400","$79,800",53%
493,494,Agricultural Business,Bachelors,"$52,700","$79,700",51%
494,494,Technology Management,Bachelors,"$56,400","$79,700",47%
495,496,Global Studies,Bachelors,"$51,200","$79,600",46%
496,496,Professional Studies,Bachelors,"$42,800","$79,600",62%
497,498,Interpersonal Communications,Bachelors,"$45,000","$79,500",53%
498,499,Forestry,Bachelors,"$45,900","$79,400",67%
499,499,Homeland Security,Bachelors,"$49,200","$79,400",72%
500,501,Ancient History,Bachelors,"$46,000","$79,300",-
501,501,Botany,Bachelors,"$42,600","$79,300",73%
502,501,Geography,Bachelors,"$49,700","$79,300",52%
503,504,Computer Aided Design (CAD),Bachelors,"$48,700","$79,200",-
504,504,Nutrition Science,Bachelors,"$49,500","$79,200",70%
505,506,Acting,Bachelors,"$44,200","$79,100",50%
506,506,Public Management,Bachelors,"$50,200","$79,100",66%
507,508,Nuclear Medicine Technology,Bachelors,"$61,700","$79,000",82%
508,509,Apparel & Textile Manufacture,Bachelors,"$48,300","$78,900",37%
509,509,English Language & Literature,Bachelors,"$46,400","$78,900",44%
510,509,Urban Studies,Bachelors,"$51,500","$78,900",57%
511,512,Mass Communication,Bachelors,"$44,800","$78,800",44%
512,513,Forestry Management,Bachelors,"$48,600","$78,700",71%
513,513,Radio/Television & Film Production,Bachelors,"$45,700","$78,700",39%
514,515,Hospital Management,Bachelors,"$53,200","$78,600",45%
515,516,Human Resources Management (HRM),Bachelors,"$47,900","$78,500",55%
516,517,Marine Science,Bachelors,"$46,100","$78,400",64%
517,518,American Sign Language Interpreting,Bachelors,"$43,100","$78,300",87%
518,518,English & History,Bachelors,"$45,700","$78,300",49%
519,518,English Language,Bachelors,"$44,600","$78,300",45%
520,521,Cytotechnology,Bachelors,"$61,900","$78,200",89%
521,521,Geosciences,Bachelors,"$48,700","$78,200",62%
522,521,Hospital Administration,Bachelors,"$51,200","$78,200",57%
523,524,Film Production,Bachelors,"$44,600","$78,100",33%
524,524,Marine Biology,Bachelors,"$43,300","$78,100",66%
525,526,Zoology,Bachelors,"$42,100","$77,900",67%
526,527,Communication Design,Bachelors,"$51,700","$77,800",34%
527,528,Leadership,Bachelors,"$47,200","$77,500",57%
528,528,Music Technology,Bachelors,"$44,800","$77,500",39%
529,528,Musicology,Bachelors,"$40,000","$77,500",-
530,528,Technical Writing,Bachelors,"$53,300","$77,500",42%
531,532,Agricultural Communication,Bachelors,"$44,600","$77,400",52%
532,532,Logistics Management,Bachelors,"$56,300","$77,400",49%
533,534,German Language & Literature,Bachelors,"$49,400","$77,300",47%
534,535,Administration,Bachelors,"$44,600","$77,100",58%
535,535,Apparel Merchandising,Bachelors,"$47,600","$77,100",35%
536,535,Computer Aided Drafting & Design (CADD),Bachelors,"$49,100","$77,100",52%
537,535,Organizational Leadership & Supervision,Bachelors,"$49,600","$77,100",51%
538,535,Printing Technology,Bachelors,"$46,200","$77,100",-
539,535,Spanish Language,Bachelors,"$47,700","$77,100",51%
540,541,Multimedia,Bachelors,"$44,700","$77,000",45%
541,542,Spanish Language Teacher Education,Bachelors,"$45,500","$76,900",73%
542,542,Public Administration,Bachelors,"$46,700","$76,900",57%
543,542,Human Nutrition,Bachelors,"$48,600","$76,900",85%
544,545,Audio Engineering,Bachelors,"$48,300","$76,800",39%
545,545,Graphics Technology & Management,Bachelors,"$39,500","$76,800",38%
546,545,Physical Anthropology,Bachelors,"$52,900","$76,800",51%
547,548,Organizational Leadership,Bachelors,"$50,500","$76,700",58%
548,549,Environmental Health Science,Bachelors,"$53,800","$76,600",61%
549,549,Health Sciences,Bachelors,"$44,600","$76,600",70%
550,551,Journalism & Electronic Media,Bachelors,"$45,200","$76,500",48%
551,552,Religious Studies,Bachelors,"$43,900","$76,300",55%
552,553,Art History,Bachelors,"$46,600","$76,200",45%
553,553,Radiologic Science,Bachelors,"$57,600","$76,200",81%
554,555,3D Animation,Bachelors,"$51,800","$76,000",42%
555,556,Culture Studies,Bachelors,"$48,100","$75,900",40%
556,556,Merchandising,Bachelors,"$53,100","$75,900",31%
557,558,Administrative Management,Bachelors,"$52,700","$75,800",50%
558,558,Human Resources (HR),Bachelors,"$47,300","$75,800",56%
559,558,Liberal Arts,Bachelors,"$44,500","$75,800",53%
560,561,Adult Education & Training,Bachelors,"$48,700","$75,600",79%
561,561,Fashion Merchandising,Bachelors,"$46,900","$75,600",29%
562,561,Health & Fitness,Bachelors,"$39,800","$75,600",67%
563,564,Natural Resources,Bachelors,"$47,400","$75,500",64%
564,564,Organizational Management,Bachelors,"$48,800","$75,500",57%
565,566,Modern Languages,Bachelors,"$50,300","$75,400",53%
566,566,Natural Resource Management,Bachelors,"$46,500","$75,400",60%
567,566,Retail Management,Bachelors,"$50,100","$75,400",35%
568,566,Sociology & Anthropology,Bachelors,"$44,500","$75,400",50%
569,570,Creative Writing,Bachelors,"$45,300","$75,200",41%
570,571,Criminal Justice Administration,Bachelors,"$45,700","$75,100",56%
571,572,Ethnic Studies,Bachelors,"$47,500","$74,900",63%
572,572,Philosophy & Religious Studies,Bachelors,"$49,300","$74,900",61%
573,572,Radiology,Bachelors,"$54,800","$74,900",80%
574,575,Medical Laboratory Technology,Bachelors,"$56,900","$74,400",82%
575,575,Sports Management,Bachelors,"$45,400","$74,400",43%
576,577,Anthropology & English,Bachelors,"$48,000","$74,300",-
577,577,Broadcast Communication,Bachelors,"$40,000","$74,300",44%
578,577,Criminology,Bachelors,"$44,700","$74,300",54%
579,577,Earth Science,Bachelors,"$50,000","$74,300",48%
580,577,Media & Technology,Bachelors,"$45,200","$74,300",43%
581,577,Visual Communications,Bachelors,"$45,400","$74,300",38%
582,583,Advertising & Graphic Design,Bachelors,"$46,800","$74,200",37%
583,583,Applied Behavior Analysis,Bachelors,"$38,700","$74,200",81%
584,583,Psychology,Bachelors,"$44,700","$74,200",56%
585,586,Applied Management,Bachelors,"$45,500","$74,100",53%
586,586,Hotel & Restaurant Management,Bachelors,"$47,300","$74,100",48%
587,588,Anthropology,Bachelors,"$46,400","$73,900",46%
588,589,Arts Management,Bachelors,"$39,400","$73,800",48%
589,589,Diagnostic Medical Imaging,Bachelors,"$60,600","$73,800",73%
590,591,Communication Arts,Bachelors,"$42,400","$73,600",39%
591,591,Middle Eastern Studies,Bachelors,"$57,100","$73,600",48%
592,591,Radiologic Technology,Bachelors,"$55,200","$73,600",83%
593,591,Painting & Printmaking,Bachelors,"$34,700","$73,600",41%
594,595,Cardiopulmonary Science,Bachelors,"$48,900","$73,400",90%
595,595,Human Relations,Bachelors,"$45,000","$73,400",63%
596,597,Humanities,Bachelors,"$48,500","$73,200",49%
597,598,Health Care Administration,Bachelors,"$45,800","$73,100",69%
598,599,Health Care Management,Bachelors,"$46,700","$73,000",72%
599,599,Life Sciences,Bachelors,"$53,100","$73,000",64%
600,601,Ecology,Bachelors,"$46,400","$72,900",57%
601,601,Media Arts,Bachelors,"$46,500","$72,900",34%
602,603,Respiratory Care,Bachelors,"$54,800","$72,800",84%
603,604,Art & Design,Bachelors,"$45,100","$72,700",38%
604,604,Health Information Management,Bachelors,"$49,000","$72,700",69%
605,604,Hospitality Management,Bachelors,"$46,400","$72,700",43%
606,607,Health Teacher Education,Bachelors,"$37,900","$72,600",46%
607,607,Sports Medicine,Bachelors,"$50,100","$72,600",77%
608,607,Multimedia & Web Design,Bachelors,"$50,200","$72,600",34%
609,610,Sociology,Bachelors,"$46,200","$72,500",55%
610,611,Liberal Studies,Bachelors,"$44,300","$72,400",56%
611,612,Interior Design,Bachelors,"$45,100","$72,300",50%
612,612,Medical Laboratory Science,Bachelors,"$55,600","$72,300",85%
613,612,Secondary Education,Bachelors,"$44,600","$72,300",59%
614,615,Child Psychology,Bachelors,"$38,900","$72,200",64%
615,615,Exercise Physiology,Bachelors,"$44,100","$72,200",76%
616,615,Radiography,Bachelors,"$55,300","$72,200",85%
617,618,Archaeology,Bachelors,"$45,900","$72,100",46%
618,618,Art Administration,Bachelors,"$40,200","$72,100",56%
619,618,Hotel & Restaurant Tourism,Bachelors,"$44,300","$72,100",49%
620,618,Illustration,Bachelors,"$45,200","$72,100",36%
621,622,Arts & Science,Bachelors,"$45,700","$71,900",-
622,622,Health,Bachelors,"$44,200","$71,900",73%
623,622,Turfgrass Management,Bachelors,"$53,100","$71,900",51%
624,625,Animal Science & Management,Bachelors,"$44,200","$71,800",55%
625,626,SocialStudies,Bachelors,"$45,800","$71,700",57%
626,627,Human Resources Development,Bachelors,"$48,600","$71,600",50%
627,627,Speech Pathology & Audiology,Bachelors,"$44,100","$71,600",78%
628,629,Clinical Laboratory Science,Bachelors,"$55,100","$71,500",83%
629,629,Forensic Science,Bachelors,"$46,000","$71,500",64%
630,629,Health Administration,Bachelors,"$42,700","$71,500",66%
631,632,Geomatics,Bachelors,"$52,300","$71,400",70%
632,632,Media Communication,Bachelors,"$47,000","$71,400",45%
633,634,Health Management,Bachelors,"$45,100","$71,300",-
634,634,Commercial Photography,Bachelors,"$43,800","$71,300",23%
635,636,Fashion Design & Marketing,Bachelors,"$45,300","$71,100",44%
636,636,Mass Media,Bachelors,"$40,300","$71,100",49%
637,638,Medical Technology,Bachelors,"$56,500","$71,000",81%
638,639,Respiratory Therapy,Bachelors,"$54,500","$70,900",82%
639,640,Theater,Bachelors,"$44,600","$70,700",50%
640,641,Forensic Psychology,Bachelors,"$43,000","$70,600",54%
641,641,Kinesiology,Bachelors,"$44,800","$70,600",66%
642,643,Performing Arts,Bachelors,"$45,700","$70,500",57%
643,643,Psychology & Social Behavior,Bachelors,"$45,800","$70,500",59%
644,643,Religion,Bachelors,"$44,400","$70,500",59%
645,643,Radio & Television,Bachelors,"$43,100","$70,500",41%
646,647,Technology Teacher Education,Bachelors,"$47,700","$70,400",57%
647,648,Educational Studies (ED),Bachelors,"$40,300","$70,200",65%
648,648,Music,Bachelors,"$44,300","$70,200",55%
649,648,Business Leadership,Bachelors,"$50,100","$70,200",45%
650,651,Drafting & Design,Bachelors,"$51,000","$70,100",69%
651,651,Plant Sciences,Bachelors,"$48,000","$70,100",60%
652,653,Criminal Justice,Bachelors,"$42,800","$69,800",56%
653,653,Web Design,Bachelors,"$49,900","$69,800",25%
654,655,Graphic Design,Bachelors,"$45,100","$69,700",37%
655,656,Nutrition,Bachelors,"$48,100","$69,600",65%
656,656,Nutrition & Dietetics,Bachelors,"$50,800","$69,600",72%
657,658,Missions,Bachelors,"$41,300","$69,500",-
658,659,Dramatic Art,Bachelors,"$41,400","$69,400",-
659,660,Fashion Marketing & Management,Bachelors,"$47,700","$69,100",30%
660,661,Interdisciplinary Studies (IS),Bachelors,"$44,600","$68,900",56%
661,662,Hospitality & Tourism,Bachelors,"$44,200","$68,800",41%
662,662,Human Ecology,Bachelors,"$42,100","$68,800",54%
663,662,Ornamental Horticulture,Bachelors,"$46,000","$68,800",69%
664,662,Physical Therapist Assistant Studies,Bachelors,"$49,900","$68,800",85%
665,662,Public Health (PH),Bachelors,"$46,000","$68,800",69%
666,667,Art Therapy,Bachelors,"$41,100","$68,600",80%
667,667,Dietetics,Bachelors,"$51,300","$68,600",74%
668,667,Landscape Management,Bachelors,"$52,300","$68,600",-
669,670,Applied Sociology,Bachelors,"$42,200","$68,500",57%
670,670,Fine Arts,Bachelors,"$43,200","$68,500",44%
671,670,Modern Language Spanish,Bachelors,"$43,800","$68,500",52%
672,670,Women's Studies,Bachelors,"$45,200","$68,500",59%
673,670,Social & Criminal Justice,Bachelors,"$44,800","$68,500",59%
674,675,Animal Science,Bachelors,"$41,200","$68,300",64%
675,675,New Media,Bachelors,"$46,000","$68,300",33%
676,675,Textiles & Clothing,Bachelors,"$45,100","$68,300",47%
677,678,Event Management,Bachelors,"$41,700","$68,200",40%
678,679,Family & Consumer Science,Bachelors,"$42,600","$68,000",59%
679,680,Speech-Language Pathology,Bachelors,"$44,100","$67,900",70%
680,681,Technical Theatre,Bachelors,"$41,000","$67,600",42%
681,682,Education,Bachelors,"$44,100","$67,500",65%
682,682,Foods & Nutrition,Bachelors,"$47,000","$67,500",68%
683,682,Recreation Management,Bachelors,"$42,300","$67,500",58%
684,685,Business & Healthcare Management,Bachelors,"$46,900","$67,300",69%
685,686,Agricultural Teacher Education,Bachelors,"$53,500","$67,100",-
686,687,Music Composition,Bachelors,"$44,000","$66,900",51%
687,688,Art,Bachelors,"$43,400","$66,700",46%
688,688,Psychology & Sociology,Bachelors,"$42,800","$66,700",53%
689,690,Drawing & Painting,Bachelors,"$42,800","$66,600",48%
690,691,Nonprofit Management,Bachelors,"$42,300","$66,300",79%
691,692,Small Business Management,Bachelors,"$47,100","$66,200",38%
692,693,Behavioral Science,Bachelors,"$43,000","$66,000",62%
693,694,Horticulture & Agronomy,Bachelors,"$52,500","$65,900",-
694,695,Health Services Administration,Bachelors,"$42,700","$65,800",63%
695,695,Multidisciplinary Studies,Bachelors,"$41,800","$65,800",53%
696,695,Restaurant & Food Service Management,Bachelors,"$43,900","$65,800",45%
697,698,Consumer Affairs,Bachelors,"$51,000","$65,700",43%
698,699,Training and Development,Bachelors,"$52,600","$65,600",-
699,699,Health & Exercise Science,Bachelors,"$41,700","$65,600",67%
700,699,Electronic Media,Bachelors,"$45,300","$65,600",37%
701,702,Environmental Resource Management,Bachelors,"$48,700","$65,500",65%
702,703,Theatre Arts,Bachelors,"$43,500","$65,300",51%
703,704,Applied Linguistics,Bachelors,"$46,800","$65,200",44%
704,705,African American & African Studies,Bachelors,"$46,400","$65,100",60%
705,705,Exercise & Sports Science,Bachelors,"$42,600","$65,100",70%
706,705,General Studies,Bachelors,"$43,600","$65,100",52%
707,705,Justice Studies,Bachelors,"$45,300","$65,100",50%
708,705,Video Production,Bachelors,"$42,800","$65,100",33%
709,710,Graphic Arts,Bachelors,"$42,700","$64,900",41%
710,710,Physical Education Teaching,Bachelors,"$42,200","$64,900",69%
711,712,Health Services Management,Bachelors,"$41,600","$64,800",83%
712,712,Physical Education & Exercise Science,Bachelors,"$44,100","$64,800",72%
713,712,Drawing,Bachelors,"$37,400","$64,800",39%
714,715,Exercise Science,Bachelors,"$41,400","$64,700",73%
715,716,Printmaking,Bachelors,"$38,400","$64,300",40%
716,716,Sports Administration,Bachelors,"$43,300","$64,300",47%
717,716,Theology,Bachelors,"$42,800","$64,300",68%
718,719,Interior Design & Merchandising,Bachelors,"$43,700","$64,200",37%
719,719,Recreation & Leisure Studies,Bachelors,"$40,300","$64,200",60%
720,721,Human Development,Bachelors,"$43,700","$64,100",64%
721,721,Music Industry,Bachelors,"$45,800","$64,100",38%
722,721,Wildlife Management,Bachelors,"$39,700","$64,100",49%
723,721,Supervision & Management,Bachelors,"$41,700","$64,100",57%
724,725,Health & Wellness,Bachelors,"$40,100","$64,000",70%
725,725,Culinary Arts & Food Service Management,Bachelors,"$41,300","$64,000",50%
726,725,Mortuary Science,Bachelors,"$43,500","$64,000",85%
727,728,Clinical Psychology,Bachelors,"$43,000","$63,900",65%
728,728,Community Health Education,Bachelors,"$42,600","$63,900",75%
729,728,Dance,Bachelors,"$45,100","$63,900",62%
730,731,Speech Pathology,Bachelors,"$42,800","$63,700",69%
731,732,Gender Studies,Bachelors,"$45,500","$63,600",55%
732,732,Secondary English Teacher Education,Bachelors,"$42,000","$63,600",64%
733,734,Photography,Bachelors,"$43,800","$63,500",38%
734,735,English Teacher Education,Bachelors,"$43,300","$63,100",57%
735,735,Paralegal Studies,Bachelors,"$39,600","$63,100",50%
736,735,Social Studies Teacher Education,Bachelors,"$43,400","$63,100",65%
737,738,Teaching English as a Second Language (ESL),Bachelors,"$42,800","$63,000",73%
738,738,Music Teacher Education,Bachelors,"$42,000","$63,000",62%
739,740,Health Promotion,Bachelors,"$42,300","$62,800",69%
740,740,Recording Arts,Bachelors,"$44,800","$62,800",48%
741,742,Photojournalism,Bachelors,"$41,900","$62,600",59%
742,743,Recreation Administration,Bachelors,"$47,000","$62,500",71%
743,744,Radio Broadcasting,Bachelors,"$46,300","$62,400",33%
744,745,Sculpture,Bachelors,"$40,300","$62,200",47%
745,746,Painting,Bachelors,"$40,700","$62,000",44%
746,746,Psychology & Social Sciences,Bachelors,"$42,600","$62,000",68%
747,748,Health & Physical Education Teaching,Bachelors,"$38,700","$61,900",65%
748,749,Organizational Administration,Bachelors,"$45,000","$61,800",-
749,750,Tourism Management,Bachelors,"$43,100","$61,600",38%
750,750,Instrumental Music Teacher Education,Bachelors,"$41,700","$61,600",65%
751,752,Emergency Medical Services (EMS),Bachelors,"$44,200","$61,400",-
752,753,Community Health,Bachelors,"$45,400","$61,300",72%
753,754,Health & Human Performance,Bachelors,"$38,100","$61,100",68%
754,755,Music Therapy,Bachelors,"$43,100","$60,700",93%
755,756,Social Services,Bachelors,"$39,900","$60,500",82%
756,757,Rehabilitation Services,Bachelors,"$35,800","$60,200",79%
757,758,Horticulture,Bachelors,"$43,000","$60,100",59%
758,759,University Studies,Bachelors,"$42,400","$60,000",49%
759,760,Church Ministries,Bachelors,"$40,000","$59,900",79%
760,761,Communicative Disorders,Bachelors,"$47,400","$59,800",73%
761,761,Social Science Teacher Education,Bachelors,"$45,400","$59,800",-
762,761,Wildlife Biology,Bachelors,"$42,900","$59,800",60%
763,764,Community Development,Bachelors,"$44,600","$59,400",63%
764,764,Psychology & Human Services,Bachelors,"$35,600","$59,400",-
765,766,Athletic Training,Bachelors,"$42,100","$59,300",75%
766,767,Biblical Studies,Bachelors,"$40,500","$59,000",72%
767,768,Biblical Studies & Practical Ministries,Bachelors,"$36,400","$58,900",76%
768,768,Counseling Psychology,Bachelors,"$42,700","$58,900",64%
769,768,Recreational Studies,Bachelors,"$42,100","$58,900",69%
770,768,Teaching,Bachelors,"$42,000","$58,900",72%
771,772,Home Economics,Bachelors,"$41,800","$58,700",69%
772,772,Library & Information Science,Bachelors,"$48,200","$58,700",48%
773,774,Human Development & Family Studies,Bachelors,"$40,300","$58,600",66%
774,774,Tourism & Travel,Bachelors,"$42,200","$58,600",43%
775,776,Landscape Design,Bachelors,"$49,000","$58,500",63%
776,777,Ceramics,Bachelors,"$42,200","$58,300",51%
777,777,Clinical Social Work (CSW),Bachelors,"$43,500","$58,300",-
778,777,Parks & Recreation Management,Bachelors,"$42,700","$58,300",56%
779,780,Pastoral Ministry,Bachelors,"$38,700","$58,000",83%
780,780,Vocal Performance,Bachelors,"$42,600","$58,000",65%
781,782,Art Teacher Education,Bachelors,"$40,300","$57,500",62%
782,782,Bible Studies & Theology,Bachelors,"$40,000","$57,500",67%
783,784,Forensic Accounting,Bachelors,"$48,300","$57,200",48%
784,785,Communication Sciences & Disorders,Bachelors,"$43,300","$57,100",76%
785,785,Legal Assistant Studies,Bachelors,"$38,100","$57,100",38%
786,787,Special Education,Bachelors,"$41,300","$57,000",76%
787,788,Conservation Biology,Bachelors,"$42,800","$56,900",57%
788,789,Family Studies,Bachelors,"$39,200","$56,800",68%
789,790,Christian Ministry,Bachelors,"$38,100","$56,400",79%
790,790,Speech & Hearing,Bachelors,"$43,300","$56,400",76%
791,792,Health and Human Services,Bachelors,"$43,500","$56,300",65%
792,793,Musical Theatre,Bachelors,"$43,500","$56,100",50%
793,794,History Teacher Education,Bachelors,"$47,700","$55,600",46%
794,795,Developmental Psychology,Bachelors,"$38,200","$55,000",-
795,796,Therapeutic Recreation,Bachelors,"$39,500","$54,900",82%
796,797,Applied Behavioral Science,Bachelors,"$40,500","$54,600",50%
797,797,Community & Human Services,Bachelors,"$42,400","$54,600",80%
798,797,Social Work (SW),Bachelors,"$38,600","$54,600",76%
799,800,Office Administration,Bachelors,"$38,700","$54,500",65%
800,801,Ministry,Bachelors,"$36,700","$54,300",81%
801,801,Family & Community Services,Bachelors,"$42,200","$54,300",74%
802,803,Youth Ministry,Bachelors,"$37,400","$54,200",76%
803,804,Elementary Education,Bachelors,"$40,000","$53,800",69%
804,805,Voice & Opera,Bachelors,"$34,500","$53,300",57%
805,806,Christian Education,Bachelors,"$38,700","$53,200",82%
806,806,Conflict Resolution,Bachelors,"$44,400","$53,200",50%
807,808,Baking & Pastry Arts,Bachelors,"$37,500","$53,000",44%
808,808,Human Services Management,Bachelors,"$45,600","$53,000",-
809,810,Hospitality & The Culinary Arts,Bachelors,"$38,800","$52,900",-
810,811,Human Services (HS),Bachelors,"$38,700","$52,500",71%
811,812,Counseling,Bachelors,"$39,900","$51,700",78%
812,813,Recreational Therapy,Bachelors,"$38,400","$51,600",84%
813,814,Child Development,Bachelors,"$37,400","$51,400",73%
814,815,Educational Psychology,Bachelors,"$36,900","$51,200",-
815,816,Middle School Education,Bachelors,"$41,200","$50,800",73%
816,817,Mental Health Counseling,Bachelors,"$36,100","$50,000",78%
817,818,Early Childhood & Elementary Education,Bachelors,"$38,000","$48,400",77%
818,819,Equine Studies,Bachelors,"$35,700","$47,100",50%
819,820,Addiction Studies,Bachelors,"$38,000","$47,000",84%
820,821,Child & Family Studies,Bachelors,"$36,400","$46,500",73%
821,822,Rehabilitation Counseling,Bachelors,"$39,200","$46,400",-
822,823,Outdoor Education,Bachelors,"$37,400","$46,300",52%
823,824,Early Childhood Education,Bachelors,"$36,100","$45,400",78%
824,825,Mental Health,Bachelors,"$36,900","$45,000",-
825,826,Medical Assisting,Bachelors,"$36,000","$44,800",-
826,827,Metalsmithing,Bachelors,"$40,000","$40,300",33%
